"","x","vol","protein","absorbance"
"1283",642,15.3993993993994,"a254",9.5714016974155
"1284",642,15.3993993993994,"a280",71.5136090537556
"1285",643,15.4234234234234,"a254",9.35895155310062
"1286",643,15.4234234234234,"a280",66.7971916673216
"1287",644,15.4474474474474,"a254",8.75199685857595
"1288",644,15.4474474474474,"a280",60.3807553878785
"1289",645,15.4714714714715,"a254",8.00247593434235
"1290",645,15.4714714714715,"a280",53.1136938741233
"1291",646,15.4954954954955,"a254",7.16966311175808
"1292",646,15.4954954954955,"a280",45.2151930342946
"1293",647,15.5195195195195,"a254",6.23804218718376
"1294",647,15.5195195195195,"a280",37.5387545993692
"1295",648,15.5435435435435,"a254",5.53490120963781
"1296",648,15.5435435435435,"a280",29.9251927165794
"1297",649,15.5675675675676,"a254",4.41389715194647
"1298",649,15.5675675675676,"a280",23.3948668720911
"1299",650,15.5915915915916,"a254",3.63937413595551
"1300",650,15.5915915915916,"a280",17.7983973906903
"1301",651,15.6156156156156,"a254",3.11129505511796
"1302",651,15.6156156156156,"a280",12.8825337891069
"1303",652,15.6396396396396,"a254",2.56616300785851
"1304",652,15.6396396396396,"a280",9.74787050944565
"1305",653,15.6636636636637,"a254",1.99549469986186
"1306",653,15.6636636636637,"a280",6.76910986479418
"1307",654,15.6876876876877,"a254",1.39292513881909
"1308",654,15.6876876876877,"a280",4.09317488978702
"1309",655,15.7117117117117,"a254",0.990900949608533
"1310",655,15.7117117117117,"a280",2.76208559467086
"1311",656,15.7357357357357,"a254",0.980072141297371
"1312",656,15.7357357357357,"a280",1.72807944397346
"1313",657,15.7597597597598,"a254",0.685007674633953
"1314",657,15.7597597597598,"a280",1.34321700824502
"1315",658,15.7837837837838,"a254",0.551577997937765
"1316",658,15.7837837837838,"a280",0.624278509556383
"1317",659,15.8078078078078,"a254",0.191849386262107
"1318",659,15.8078078078078,"a280",0.595975601170625
"1319",660,15.8318318318318,"a254",0.057990373625063
"1320",660,15.8318318318318,"a280",0.184355231083557
"1321",661,15.8558558558559,"a254",0.110640259995781
"1322",661,15.8558558558559,"a280",0.000881619531348336
"1323",662,15.8798798798799,"a254",0.242164321668738
"1324",662,15.8798798798799,"a280",-0.210437458284109
"1325",663,15.9039039039039,"a254",0.227387990582959
"1326",663,15.9039039039039,"a280",0.043774913785862
"1327",664,15.9279279279279,"a254",-0.0948495414126445
"1328",664,15.9279279279279,"a280",-0.181954386621389
"1329",665,15.951951951952,"a254",0.0738864781589217
"1330",665,15.951951951952,"a280",-0.167016550979519
"1331",666,15.975975975976,"a254",0.191925655209274
"1332",666,15.975975975976,"a280",-0.317960089977206
"1333",667,16,"a254",0.091076121254057
"1334",667,16,"a280",0.112399968477321
"1335",668,16.024024024024,"a254",0.149589069077355
"1336",668,16.024024024024,"a280",-0.368392663879269
"1337",669,16.048048048048,"a254",-0.0127245395691378
"1338",669,16.048048048048,"a280",0.14742257686208
"1339",670,16.0720720720721,"a254",0.188282167976249
"1340",670,16.0720720720721,"a280",-0.00751794354705787
"1341",671,16.0960960960961,"a254",-0.0262543843965859
"1342",671,16.0960960960961,"a280",0.123849904599055
"1343",672,16.1201201201201,"a254",0.0398489837851861
"1344",672,16.1201201201201,"a280",-0.045604299981444
"1345",673,16.1441441441441,"a254",-0.180703653088194
"1346",673,16.1441441441441,"a280",0.169736187327684
"1347",674,16.1681681681682,"a254",0.052822527041289
"1348",674,16.1681681681682,"a280",-0.0732987735567813
"1349",675,16.1921921921922,"a254",0.178094445902235
"1350",675,16.1921921921922,"a280",-0.0720658981294564
"1351",676,16.2162162162162,"a254",-0.0638866945774831
"1352",676,16.2162162162162,"a280",0.260253795493176
"1353",677,16.2402402402402,"a254",0.156916849848924
"1354",677,16.2402402402402,"a280",-0.0162464414109029
"1355",678,16.2642642642643,"a254",0.199159113863464
"1356",678,16.2642642642643,"a280",0.039381304244454
"1357",679,16.2882882882883,"a254",-0.142042761937153
"1358",679,16.2882882882883,"a280",0.112391147819158
"1359",680,16.3123123123123,"a254",0.158724718056553
"1360",680,16.3123123123123,"a280",0.351710661479327
"1361",681,16.3363363363363,"a254",0.12325473534819
"1362",681,16.3363363363363,"a280",-0.125591924629886
"1363",682,16.3603603603604,"a254",-0.0831281794999413
"1364",682,16.3603603603604,"a280",-0.0641303258078175
"1365",683,16.3843843843844,"a254",0.163739386728065
"1366",683,16.3843843843844,"a280",0.20031317113126
"1367",684,16.4084084084084,"a254",0.0413497593187279
"1368",684,16.4084084084084,"a280",-0.110935816597641
"1369",685,16.4324324324324,"a254",0.139451040026338
"1370",685,16.4324324324324,"a280",-0.110684805446581
"1371",686,16.4564564564565,"a254",0.0426193478192206
"1372",686,16.4564564564565,"a280",-0.1117203928504
"1373",687,16.4804804804805,"a254",-0.0818632656573136
"1374",687,16.4804804804805,"a280",0.0755476675003013
"1375",688,16.5045045045045,"a254",0.173081908591523
"1376",688,16.5045045045045,"a280",0.226169372536408
"1377",689,16.5285285285285,"a254",0.152127287526639
"1378",689,16.5285285285285,"a280",0.0226522943936689
"1379",690,16.5525525525526,"a254",-0.0926324173203083
"1380",690,16.5525525525526,"a280",0.111805306561301
"1381",691,16.5765765765766,"a254",0.130049161877461
"1382",691,16.5765765765766,"a280",-0.384129147976635
"1383",692,16.6006006006006,"a254",-0.0716612192867965
"1384",692,16.6006006006006,"a280",0.0158062447793786
"1385",693,16.6246246246246,"a254",-0.0699266660976627
"1386",693,16.6246246246246,"a280",0.032581017445773
"1387",694,16.6486486486486,"a254",0.107426501710689
"1388",694,16.6486486486486,"a280",0.0339028586633503
"1389",695,16.6726726726727,"a254",0.0990442837783477
"1390",695,16.6726726726727,"a280",0.0655702172778547
"1391",696,16.6966966966967,"a254",0.0402726119759585
"1392",696,16.6966966966967,"a280",-0.0846483108587563
"1393",697,16.7207207207207,"a254",0.134571296628658
"1394",697,16.7207207207207,"a280",-0.0654373150318861
"1395",698,16.7447447447447,"a254",0.0174830054305792
"1396",698,16.7447447447447,"a280",-0.0475667354650795
"1397",699,16.7687687687688,"a254",-0.0308077705372032
"1398",699,16.7687687687688,"a280",-0.00839878125116228
"1399",700,16.7927927927928,"a254",-0.00685253745875968
"1400",700,16.7927927927928,"a280",0.14482629308477
"1401",701,16.8168168168168,"a254",-0.176162634612992
"1402",701,16.8168168168168,"a280",-0.269031777046621
"1403",702,16.8408408408408,"a254",-0.0354650844540444
"1404",702,16.8408408408408,"a280",0.00887359790503975
"1405",703,16.8648648648649,"a254",-0.185780173623934
"1406",703,16.8648648648649,"a280",-0.278101903293282
"1407",704,16.8888888888889,"a254",0.000136308940127501
"1408",704,16.8888888888889,"a280",-0.0122652293182909
"1409",705,16.9129129129129,"a254",-0.19518538092263
"1410",705,16.9129129129129,"a280",0.173786372598261
"1411",706,16.9369369369369,"a254",0.114881354412064
"1412",706,16.9369369369369,"a280",-0.0676259381696581
"1413",707,16.960960960961,"a254",-0.0171653024014086
"1414",707,16.960960960961,"a280",0.0281342020258308
"1415",708,16.984984984985,"a254",0.186948437653482
"1416",708,16.984984984985,"a280",-0.020573712605983
"1417",709,17.009009009009,"a254",-0.191849411185831
"1418",709,17.009009009009,"a280",0.00976516157388688
"1419",710,17.033033033033,"a254",-0.193863441357389
"1420",710,17.033033033033,"a280",0.152516159042716
"1421",711,17.0570570570571,"a254",-0.0987455597706139
"1422",711,17.0570570570571,"a280",0.0825460919179022
"1423",712,17.0810810810811,"a254",0.140122692473233
"1424",712,17.0810810810811,"a280",-0.068705016374588
"1425",713,17.1051051051051,"a254",-0.173303700992838
"1426",713,17.1051051051051,"a280",0.0110096995718777
"1427",714,17.1291291291291,"a254",0.0462433263566345
"1428",714,17.1291291291291,"a280",-0.0873259180225431
"1429",715,17.1531531531532,"a254",-0.20510725799948
"1430",715,17.1531531531532,"a280",-0.216798045858741
"1431",716,17.1771771771772,"a254",-0.0562167428899556
"1432",716,17.1771771771772,"a280",0.311541863810271
"1433",717,17.2012012012012,"a254",-0.0769242245238274
"1434",717,17.2012012012012,"a280",0.218228943273425
"1435",718,17.2252252252252,"a254",-0.0636289453133941
"1436",718,17.2252252252252,"a280",0.0739175054244697
"1437",719,17.2492492492492,"a254",0.212452649129555
"1438",719,17.2492492492492,"a280",-0.189522585459053
"1439",720,17.2732732732733,"a254",-0.141897647613659
"1440",720,17.2732732732733,"a280",-0.0840749622322619
"1441",721,17.2972972972973,"a254",0.0977264238055795
"1442",721,17.2972972972973,"a280",0.0137991983443499
"1443",722,17.3213213213213,"a254",0.0518505250103771
"1444",722,17.3213213213213,"a280",0.0185538236051798
"1445",723,17.3453453453453,"a254",0.0771152031328529
"1446",723,17.3453453453453,"a280",-0.0180360012687743
"1447",724,17.3693693693694,"a254",0.0652842359617352
"1448",724,17.3693693693694,"a280",-0.0706774110905826
"1449",725,17.3933933933934,"a254",-0.0844818445108831
"1450",725,17.3933933933934,"a280",-0.161725599132478
"1451",726,17.4174174174174,"a254",0.188832129100338
"1452",726,17.4174174174174,"a280",-0.111859037540853
"1453",727,17.4414414414414,"a254",-0.157797412611544
"1454",727,17.4414414414414,"a280",-0.208039879985154
"1455",728,17.4654654654655,"a254",0.139650554060936
"1456",728,17.4654654654655,"a280",0.211428745742887
"1457",729,17.4894894894895,"a254",0.0479670022893697
"1458",729,17.4894894894895,"a280",-0.0378388213925063
"1459",730,17.5135135135135,"a254",-0.143714500563219
"1460",730,17.5135135135135,"a280",-0.0492520763538778
"1461",731,17.5375375375375,"a254",0.171597523223609
